No,Kota,Produk,Harga Satuan,Jumlah Pesanan,Tipe Pembayaran,Tipe Pengiriman,Rating Produk,Harga Total
1273,Surabaya,Tas Ransel,617202,4,Kartu Kredit,Reguler,2.6,2468808
1274,Surabaya,Sneakers,525111,2,COD,Kilat,2.2,1050222
1275,Makassar,Celana Jeans,993337,3,COD,Hemat,2.6,2980011
1276,Denpasar,Tas Ransel,957644,1,Transfer Bank,Hemat,3.3,957644
1277,Jakarta,Lipstik,80653,4,Kartu Kredit,Hemat,2.7,322612
1278,Makassar,Power Bank,767895,4,Transfer Bank,Kilat,2.1,3071580
1279,Semarang,Power Bank,212593,2,Transfer Bank,Kilat,4,425186
1280,Medan,Power Bank,360459,2,ShopeePay,Same Day,3.1,720918
1281,Bandung,Power Bank,313219,4,Transfer Bank,Same Day,1.3,1252876
1282,Makassar,Earphone,968201,4,Transfer Bank,Same Day,2.5,3872804
1283,Jakarta,Power Bank,992048,3,Transfer Bank,Kilat,4.5,2976144
1284,Jakarta,Power Bank,29795,4,Transfer Bank,Hemat,4,119180
1285,Makassar,Power Bank,608843,2,COD,Hemat,2.3,1217686
1286,Yogyakarta,Parfum,989708,1,Kartu Kredit,Reguler,4.8,989708
1287,Bandung,Earphone,255068,3,ShopeePay,Same Day,1.3,765204
1288,Yogyakarta,Kaos,482970,3,COD,Hemat,4.8,1448910
1289,Medan,Sneakers,647395,4,ShopeePay,Hemat,2,2589580
1290,Jakarta,Sneakers,333673,1,ShopeePay,Hemat,1,333673
1291,Jakarta,Tas Ransel,949176,3,COD,Hemat,2.7,2847528
1292,Semarang,Parfum,467454,2,Transfer Bank,Kilat,2.4,934908
1293,Medan,Jam Tangan,771938,4,COD,Same Day,3.2,3087752
1294,Jakarta,Sneakers,187022,2,ShopeePay,Hemat,4.2,374044
1295,Medan,Kemeja,31009,4,ShopeePay,Hemat,4.4,124036
1296,Bandung,Jam Tangan,198168,3,Transfer Bank,Hemat,2.6,594504
1297,Surabaya,Power Bank,694904,4,COD,Hemat,2.7,2779616
1298,Jakarta,Power Bank,993232,1,Kartu Kredit,Reguler,1.6,993232
1299,Semarang,Earphone,573669,2,ShopeePay,Hemat,1.2,1147338
1300,Bandung,Jam Tangan,409913,1,COD,Hemat,3.6,409913
1301,Makassar,Kemeja,962791,2,Transfer Bank,Hemat,1.3,1925582
1302,Medan,Earphone,346754,2,Transfer Bank,Reguler,3.9,693508
1303,Makassar,Tas Ransel,88122,4,Kartu Kredit,Kilat,3.2,352488
1304,Yogyakarta,Jam Tangan,350328,3,ShopeePay,Reguler,1.8,1050984
1305,Bandung,Parfum,453297,3,Kartu Kredit,Hemat,3.2,1359891
1306,Makassar,Power Bank,234709,1,Kartu Kredit,Kilat,1.7,234709
1307,Denpasar,Power Bank,982816,4,Kartu Kredit,Hemat,2.8,3931264
1308,Denpasar,Celana Jeans,631516,3,Kartu Kredit,Kilat,4.2,1894548
1309,Jakarta,Earphone,879375,2,Transfer Bank,Hemat,2.8,1758750
1310,Medan,Kaos,625058,2,ShopeePay,Hemat,1.6,1250116
1311,Surabaya,Kaos,72726,4,Kartu Kredit,Kilat,3.9,290904
1312,Bandung,Earphone,435427,1,ShopeePay,Kilat,1.7,435427
1313,Jakarta,Parfum,966984,4,Transfer Bank,Hemat,4,3867936
1314,Semarang,Lipstik,854212,1,Transfer Bank,Reguler,2.9,854212
1315,Yogyakarta,Earphone,208210,4,COD,Reguler,2.8,832840
1316,Medan,Parfum,765742,2,COD,Reguler,4.4,1531484
1317,Bandung,Tas Ransel,324647,4,ShopeePay,Reguler,3.8,1298588
1318,Denpasar,Power Bank,864325,3,COD,Kilat,1.1,2592975
1319,Bandung,Kemeja,197265,3,Kartu Kredit,Kilat,2.2,591795
1320,Surabaya,Lipstik,789362,4,ShopeePay,Reguler,4.5,3157448
1321,Denpasar,Jam Tangan,540759,1,Transfer Bank,Same Day,1.1,540759
1322,Surabaya,Lipstik,867790,1,Transfer Bank,Same Day,3.2,867790
1323,Semarang,Kemeja,100857,2,Kartu Kredit,Same Day,3.9,201714
1324,Yogyakarta,Celana Jeans,402601,2,COD,Hemat,3.5,805202
1325,Semarang,Power Bank,959621,1,ShopeePay,Reguler,4,959621
1326,Jakarta,Kaos,279405,4,ShopeePay,Hemat,3.9,1117620
1327,Jakarta,Parfum,210128,2,Kartu Kredit,Kilat,3.8,420256
1328,Semarang,Earphone,662216,1,COD,Kilat,4.3,662216
1329,Yogyakarta,Earphone,602994,1,ShopeePay,Same Day,3.6,602994
1330,Semarang,Kaos,946980,4,Kartu Kredit,Same Day,2.6,3787920
1331,Yogyakarta,Lipstik,364950,3,ShopeePay,Kilat,2.9,1094850
1332,Yogyakarta,Power Bank,599294,1,Transfer Bank,Same Day,3.9,599294
1333,Makassar,Sneakers,631526,2,ShopeePay,Same Day,4.5,1263052
1334,Denpasar,Parfum,268018,4,ShopeePay,Kilat,2.1,1072072
1335,Medan,Tas Ransel,483134,4,ShopeePay,Hemat,2.4,1932536
1336,Yogyakarta,Kemeja,738515,4,COD,Same Day,4.7,2954060
1337,Surabaya,Lipstik,852230,3,COD,Hemat,3.3,2556690
1338,Yogyakarta,Jam Tangan,97271,3,Kartu Kredit,Same Day,1.7,291813
1339,Yogyakarta,Celana Jeans,836609,2,COD,Reguler,3.7,1673218
1340,Yogyakarta,Earphone,509464,2,ShopeePay,Hemat,5,1018928
1341,Makassar,Lipstik,410166,4,ShopeePay,Hemat,4.3,1640664
1342,Denpasar,Celana Jeans,535631,2,COD,Same Day,4,1071262
1343,Makassar,Kemeja,936588,1,COD,Hemat,1.8,936588
1344,Jakarta,Earphone,364359,3,ShopeePay,Reguler,4.5,1093077
1345,Makassar,Earphone,63013,4,ShopeePay,Kilat,3.1,252052
1346,Surabaya,Sneakers,626888,4,Transfer Bank,Reguler,4.6,2507552
1347,Surabaya,Lipstik,378243,1,Kartu Kredit,Kilat,2.3,378243
1348,Makassar,Power Bank,335594,1,COD,Reguler,1.2,335594
1349,Denpasar,Kaos,461144,1,Kartu Kredit,Reguler,2.9,461144
1350,Semarang,Kaos,404784,1,ShopeePay,Hemat,2.1,404784
1351,Medan,Tas Ransel,898835,4,Kartu Kredit,Reguler,3.9,3595340
1352,Denpasar,Jam Tangan,458598,3,COD,Same Day,4.8,1375794
1353,Makassar,Celana Jeans,643578,3,COD,Same Day,3.8,1930734
1354,Yogyakarta,Lipstik,236110,1,Kartu Kredit,Same Day,4.5,236110
1355,Bandung,Parfum,151832,2,COD,Same Day,2.8,303664
1356,Medan,Jam Tangan,44142,4,Transfer Bank,Hemat,4.1,176568
1357,Medan,Sneakers,392333,3,ShopeePay,Same Day,4.4,1176999
1358,Surabaya,Earphone,913964,1,ShopeePay,Reguler,3.8,913964
1359,Medan,Power Bank,954794,2,COD,Same Day,3,1909588
1360,Makassar,Lipstik,151436,2,ShopeePay,Hemat,3.5,302872
1361,Yogyakarta,Jam Tangan,863353,1,Transfer Bank,Kilat,3.8,863353
1362,Yogyakarta,Jam Tangan,301941,4,COD,Reguler,2,1207764
1363,Jakarta,Power Bank,257403,3,Transfer Bank,Reguler,4.2,772209
1364,Yogyakarta,Tas Ransel,576823,2,Transfer Bank,Hemat,4.8,1153646
1365,Denpasar,Celana Jeans,328444,3,ShopeePay,Kilat,2.9,985332
1366,Yogyakarta,Celana Jeans,853608,3,ShopeePay,Same Day,3.8,2560824
1367,Surabaya,Jam Tangan,36105,2,Kartu Kredit,Kilat,3.9,72210
1368,Yogyakarta,Kemeja,683299,1,Transfer Bank,Reguler,3.6,683299
1369,Jakarta,Jam Tangan,623760,2,ShopeePay,Reguler,3.2,1247520
1370,Bandung,Jam Tangan,717389,2,Transfer Bank,Reguler,4.5,1434778
1371,Makassar,Power Bank,691223,4,Kartu Kredit,Kilat,2.8,2764892
1372,Surabaya,Earphone,98097,3,Transfer Bank,Same Day,1.2,294291
1373,Denpasar,Power Bank,281674,1,COD,Reguler,4.4,281674
1374,Bandung,Lipstik,161519,3,Kartu Kredit,Hemat,3.7,484557
1375,Surabaya,Jam Tangan,640448,2,Kartu Kredit,Same Day,4.4,1280896
1376,Semarang,Celana Jeans,66940,1,Transfer Bank,Reguler,1.6,66940
1377,Medan,Parfum,753307,1,Transfer Bank,Same Day,1.1,753307
1378,Semarang,Celana Jeans,105001,1,ShopeePay,Hemat,4.7,105001
1379,Yogyakarta,Kaos,779112,1,COD,Kilat,1.6,779112
1380,Bandung,Tas Ransel,695002,4,Kartu Kredit,Reguler,4.2,2780008
1381,Yogyakarta,Sneakers,772158,1,Kartu Kredit,Hemat,4.3,772158
1382,Medan,Lipstik,771259,2,Kartu Kredit,Reguler,3.8,1542518
1383,Surabaya,Lipstik,218715,4,ShopeePay,Reguler,1.5,874860
1384,Medan,Tas Ransel,27928,2,COD,Kilat,3.7,55856
1385,Jakarta,Parfum,592290,2,Kartu Kredit,Kilat,4.6,1184580
1386,Medan,Sneakers,366997,3,Kartu Kredit,Same Day,2.7,1100991
1387,Jakarta,Earphone,658902,1,ShopeePay,Hemat,2.7,658902
1388,Medan,Jam Tangan,137517,1,Transfer Bank,Hemat,2.8,137517
1389,Makassar,Sneakers,176089,2,Kartu Kredit,Kilat,1.3,352178
1390,Jakarta,Parfum,99064,1,COD,Reguler,4.6,99064
1391,Bandung,Kemeja,926126,4,COD,Same Day,4.5,3704504
1392,Yogyakarta,Kaos,426529,3,COD,Kilat,5,1279587
1393,Denpasar,Sneakers,414775,1,COD,Same Day,3.3,414775
1394,Yogyakarta,Sneakers,70893,1,ShopeePay,Same Day,4,70893
1395,Semarang,Kaos,297311,4,Kartu Kredit,Hemat,1.8,1189244
1396,Yogyakarta,Jam Tangan,582886,3,ShopeePay,Same Day,3.7,1748658
1397,Surabaya,Sneakers,158595,4,COD,Hemat,3.6,634380
1398,Makassar,Kaos,856209,2,COD,Reguler,4.6,1712418
1399,Medan,Kaos,441655,2,COD,Reguler,4.3,883310
1400,Semarang,Kaos,398522,1,ShopeePay,Kilat,4.8,398522
1401,Surabaya,Power Bank,101060,3,COD,Reguler,4.5,303180
1402,Surabaya,Parfum,819717,2,Kartu Kredit,Hemat,4.5,1639434
1403,Jakarta,Power Bank,424189,4,COD,Same Day,1.3,1696756
1404,Yogyakarta,Kemeja,405114,2,Kartu Kredit,Same Day,4.4,810228
1405,Bandung,Earphone,566982,2,Kartu Kredit,Reguler,3.4,1133964
1406,Denpasar,Power Bank,973278,4,COD,Hemat,2.5,3893112
1407,Bandung,Power Bank,941806,1,ShopeePay,Same Day,1.2,941806
1408,Semarang,Parfum,281401,3,Transfer Bank,Reguler,3.7,844203
1409,Makassar,Earphone,791136,1,Transfer Bank,Hemat,2.3,791136
1410,Bandung,Tas Ransel,697751,4,Kartu Kredit,Hemat,2.9,2791004
1411,Medan,Kaos,811043,2,ShopeePay,Same Day,3.7,1622086
1412,Bandung,Lipstik,553660,3,Transfer Bank,Kilat,4.6,1660980
1413,Semarang,Earphone,175384,1,COD,Kilat,4.3,175384
1414,Denpasar,Kemeja,165152,4,COD,Hemat,2.8,660608
1415,Bandung,Jam Tangan,887050,2,Kartu Kredit,Hemat,2.6,1774100
1416,Medan,Kemeja,657233,2,ShopeePay,Reguler,2,1314466
1417,Jakarta,Kaos,914829,1,ShopeePay,Hemat,2.5,914829
1418,Makassar,Earphone,640501,4,Transfer Bank,Reguler,1.4,2562004
1419,Semarang,Kemeja,40874,2,Transfer Bank,Reguler,4.9,81748
1420,Jakarta,Kemeja,475753,2,COD,Reguler,3.3,951506
1421,Jakarta,Tas Ransel,749274,3,Kartu Kredit,Hemat,1.5,2247822
1422,Jakarta,Tas Ransel,414813,2,ShopeePay,Hemat,2.4,829626
1423,Surabaya,Earphone,555888,1,Transfer Bank,Reguler,3.2,555888
1424,Makassar,Kaos,941251,4,Transfer Bank,Same Day,3.1,3765004
1425,Denpasar,Power Bank,885847,4,Kartu Kredit,Hemat,1.1,3543388
1426,Yogyakarta,Celana Jeans,792718,3,Kartu Kredit,Kilat,4.8,2378154
1427,Makassar,Sneakers,491769,4,COD,Same Day,2.1,1967076
1428,Surabaya,Lipstik,700175,1,Kartu Kredit,Kilat,1.1,700175
1429,Yogyakarta,Sneakers,759860,2,COD,Hemat,1.3,1519720
1430,Makassar,Parfum,638636,3,COD,Same Day,3.3,1915908
1431,Jakarta,Tas Ransel,125736,4,Kartu Kredit,Hemat,1.6,502944
1432,Semarang,Earphone,831146,3,Kartu Kredit,Hemat,1.2,2493438
1433,Yogyakarta,Sneakers,432106,3,Kartu Kredit,Same Day,2.5,1296318
1434,Medan,Kaos,999013,4,Kartu Kredit,Hemat,3.5,3996052
1435,Medan,Lipstik,475040,3,Kartu Kredit,Same Day,1.4,1425120
1436,Bandung,Sneakers,155797,4,COD,Hemat,2.3,623188
1437,Yogyakarta,Lipstik,456421,1,Transfer Bank,Reguler,2.7,456421
1438,Semarang,Jam Tangan,696044,4,ShopeePay,Kilat,1.6,2784176
1439,Denpasar,Kaos,505077,2,ShopeePay,Reguler,3,1010154
1440,Surabaya,Celana Jeans,995415,4,COD,Hemat,1.3,3981660
1441,Jakarta,Kemeja,655861,2,COD,Hemat,1.2,1311722
1442,Bandung,Lipstik,295236,3,Transfer Bank,Hemat,3.1,885708
1443,Medan,Kaos,378062,4,Kartu Kredit,Reguler,2,1512248
1444,Surabaya,Lipstik,977274,2,COD,Hemat,1.4,1954548
1445,Surabaya,Lipstik,45457,4,ShopeePay,Same Day,2.7,181828
1446,Jakarta,Power Bank,878099,4,Kartu Kredit,Kilat,4.7,3512396
1447,Denpasar,Power Bank,372895,4,COD,Hemat,3.9,1491580
1448,Denpasar,Kaos,82894,1,Kartu Kredit,Hemat,4.3,82894
1449,Yogyakarta,Power Bank,605593,2,ShopeePay,Kilat,4.5,1211186
1450,Medan,Parfum,687972,1,Kartu Kredit,Kilat,4.9,687972
1451,Denpasar,Celana Jeans,778201,1,COD,Kilat,4.1,778201
1452,Semarang,Earphone,229699,2,COD,Reguler,3.4,459398
1453,Denpasar,Kaos,974593,4,ShopeePay,Reguler,2.5,3898372
1454,Surabaya,Kaos,858569,1,Transfer Bank,Hemat,1.7,858569
1455,Jakarta,Parfum,20559,1,Transfer Bank,Kilat,3.7,20559
1456,Semarang,Tas Ransel,872681,1,Kartu Kredit,Hemat,5,872681
1457,Yogyakarta,Tas Ransel,57361,4,COD,Hemat,2.9,229444
1458,Medan,Power Bank,887152,1,COD,Hemat,3.9,887152
1459,Yogyakarta,Earphone,821693,3,ShopeePay,Reguler,3,2465079
1460,Surabaya,Power Bank,826804,2,ShopeePay,Kilat,2.7,1653608
1461,Semarang,Jam Tangan,337499,3,COD,Hemat,2.6,1012497
1462,Semarang,Jam Tangan,773036,4,ShopeePay,Reguler,3,3092144
1463,Semarang,Kemeja,380704,1,Transfer Bank,Same Day,2.5,380704
1464,Surabaya,Jam Tangan,733280,2,Transfer Bank,Same Day,4,1466560
1465,Surabaya,Tas Ransel,263950,1,Kartu Kredit,Hemat,4.5,263950
1466,Yogyakarta,Celana Jeans,445760,4,ShopeePay,Hemat,4.5,1783040
1467,Bandung,Jam Tangan,20037,2,Kartu Kredit,Kilat,1.9,40074
1468,Yogyakarta,Power Bank,718392,3,ShopeePay,Kilat,4.6,2155176
1469,Medan,Lipstik,491449,2,ShopeePay,Hemat,2.4,982898
1470,Jakarta,Kaos,323564,1,Transfer Bank,Reguler,2.2,323564
1471,Semarang,Celana Jeans,527450,2,COD,Hemat,3.9,1054900
1472,Bandung,Celana Jeans,641531,4,ShopeePay,Kilat,2.2,2566124
1473,Jakarta,Power Bank,673668,4,ShopeePay,Kilat,1.2,2694672
1474,Bandung,Kaos,278430,2,ShopeePay,Reguler,2.5,556860
1475,Denpasar,Tas Ransel,578888,4,COD,Hemat,3.9,2315552
1476,Denpasar,Celana Jeans,723645,4,Kartu Kredit,Kilat,2.3,2894580
1477,Makassar,Kemeja,737368,4,Kartu Kredit,Hemat,3.5,2949472
1478,Denpasar,Power Bank,895952,3,ShopeePay,Kilat,3.6,2687856
1479,Yogyakarta,Celana Jeans,811599,1,ShopeePay,Same Day,3.9,811599
1480,Denpasar,Earphone,277351,4,Kartu Kredit,Same Day,4.6,1109404
1481,Surabaya,Kaos,544720,2,Kartu Kredit,Same Day,2.7,1089440
1482,Semarang,Jam Tangan,805838,4,Transfer Bank,Kilat,1.7,3223352
1483,Yogyakarta,Celana Jeans,613975,3,ShopeePay,Reguler,2.3,1841925
1484,Jakarta,Power Bank,788576,2,Kartu Kredit,Same Day,2.7,1577152
1485,Makassar,Jam Tangan,878379,1,Transfer Bank,Kilat,3.9,878379
1486,Makassar,Kemeja,902756,2,COD,Hemat,1.1,1805512
1487,Makassar,Jam Tangan,857335,2,ShopeePay,Same Day,2.3,1714670
1488,Jakarta,Earphone,505375,2,Kartu Kredit,Reguler,4.1,1010750
1489,Jakarta,Tas Ransel,205221,2,ShopeePay,Reguler,3.7,410442
1490,Jakarta,Celana Jeans,763000,4,Transfer Bank,Reguler,3.9,3052000
1491,Jakarta,Sneakers,207840,1,Kartu Kredit,Hemat,4.2,207840
1492,Makassar,Sneakers,473400,4,COD,Hemat,4.1,1893600
1493,Makassar,Jam Tangan,872224,3,COD,Reguler,3.7,2616672
1494,Bandung,Parfum,315583,3,Transfer Bank,Reguler,2.8,946749
1495,Yogyakarta,Kaos,184329,2,COD,Reguler,4.9,368658
1496,Semarang,Sneakers,195746,4,COD,Hemat,3.3,782984
1497,Denpasar,Parfum,333392,4,COD,Hemat,1.8,1333568
1498,Denpasar,Sneakers,496818,1,COD,Kilat,2.2,496818
1499,Surabaya,Parfum,720731,1,COD,Same Day,3.8,720731
1500,Makassar,Kaos,773642,1,COD,Hemat,4.7,773642
1501,Surabaya,Lipstik,481212,4,COD,Reguler,1.7,1924848
1502,Yogyakarta,Sneakers,712657,1,Kartu Kredit,Same Day,1.3,712657
1503,Yogyakarta,Earphone,991777,1,COD,Hemat,4.5,991777
1504,Surabaya,Celana Jeans,474472,1,Kartu Kredit,Same Day,4.7,474472
1505,Makassar,Parfum,579031,2,ShopeePay,Kilat,2.1,1158062
1506,Surabaya,Celana Jeans,219824,3,Transfer Bank,Hemat,2.5,659472
1507,Denpasar,Power Bank,624091,3,COD,Reguler,3.6,1872273
1508,Bandung,Power Bank,881549,4,Transfer Bank,Reguler,2.3,3526196
1509,Denpasar,Kaos,221123,4,COD,Kilat,4.5,884492
1510,Medan,Parfum,42076,2,Kartu Kredit,Kilat,1.4,84152
1511,Makassar,Kemeja,261424,3,COD,Kilat,1.2,784272
1512,Makassar,Power Bank,226384,1,ShopeePay,Kilat,1.8,226384
1513,Semarang,Kaos,270699,1,Transfer Bank,Kilat,2.1,270699
1514,Jakarta,Power Bank,893915,4,Transfer Bank,Hemat,1.5,3575660
1515,Medan,Power Bank,678323,3,ShopeePay,Hemat,1.3,2034969
1516,Yogyakarta,Kemeja,401361,4,Kartu Kredit,Same Day,4,1605444
1517,Makassar,Sneakers,164938,4,Kartu Kredit,Kilat,1.7,659752
1518,Surabaya,Jam Tangan,910936,1,ShopeePay,Reguler,4.7,910936
1519,Medan,Lipstik,183377,1,Transfer Bank,Reguler,2.5,183377
1520,Semarang,Power Bank,999907,3,COD,Kilat,3.7,2999721
1521,Yogyakarta,Power Bank,233968,4,Kartu Kredit,Kilat,1.9,935872
1522,Jakarta,Earphone,912081,2,COD,Kilat,2,1824162
1523,Jakarta,Lipstik,408388,3,Transfer Bank,Kilat,3.3,1225164
1524,Semarang,Kemeja,314957,4,COD,Kilat,3.2,1259828
1525,Semarang,Celana Jeans,873161,3,ShopeePay,Reguler,4.1,2619483
1526,Surabaya,Parfum,998190,3,Kartu Kredit,Same Day,4,2994570
1527,Makassar,Power Bank,810944,3,Kartu Kredit,Kilat,3.7,2432832
1528,Jakarta,Jam Tangan,270703,2,ShopeePay,Kilat,2.8,541406
1529,Yogyakarta,Parfum,435882,2,ShopeePay,Kilat,4.6,871764
1530,Medan,Lipstik,167702,1,Kartu Kredit,Hemat,3.5,167702
1531,Yogyakarta,Parfum,137907,1,Kartu Kredit,Reguler,5,137907
1532,Bandung,Sneakers,225591,4,Kartu Kredit,Reguler,4.3,902364
1533,Bandung,Power Bank,413852,3,Transfer Bank,Same Day,1.2,1241556
1534,Semarang,Parfum,941279,4,Transfer Bank,Hemat,2.3,3765116
1535,Surabaya,Celana Jeans,608879,1,Transfer Bank,Hemat,3.3,608879
1536,Bandung,Celana Jeans,543869,2,COD,Hemat,3.9,1087738
1537,Jakarta,Power Bank,229633,1,Transfer Bank,Same Day,3.2,229633
1538,Yogyakarta,Tas Ransel,488032,4,Kartu Kredit,Same Day,4.1,1952128
1539,Yogyakarta,Celana Jeans,777847,1,Transfer Bank,Same Day,2.1,777847
1540,Semarang,Parfum,817783,4,Kartu Kredit,Hemat,1.7,3271132
1541,Makassar,Kaos,921832,4,ShopeePay,Reguler,1.2,3687328
1542,Makassar,Celana Jeans,664821,4,COD,Hemat,3.3,2659284
1543,Medan,Lipstik,647915,4,COD,Same Day,3.8,2591660
1544,Semarang,Tas Ransel,468400,1,ShopeePay,Hemat,2.3,468400
1545,Denpasar,Parfum,148381,4,Kartu Kredit,Kilat,3.5,593524
1546,Medan,Kemeja,786552,4,COD,Hemat,1.2,3146208
1547,Denpasar,Earphone,377851,3,Transfer Bank,Hemat,1.4,1133553
1548,Makassar,Kemeja,363822,4,Kartu Kredit,Reguler,3.8,1455288
1549,Semarang,Sneakers,617597,1,COD,Reguler,2.5,617597
1550,Denpasar,Earphone,769362,4,ShopeePay,Reguler,3.7,3077448
1551,Semarang,Sneakers,817210,2,Kartu Kredit,Kilat,4.3,1634420
1552,Semarang,Earphone,687861,2,COD,Reguler,4.4,1375722
1553,Makassar,Earphone,919145,4,ShopeePay,Kilat,1.7,3676580
1554,Medan,Kaos,939612,2,Kartu Kredit,Same Day,2.9,1879224
1555,Medan,Jam Tangan,508121,2,Transfer Bank,Reguler,3.9,1016242
1556,Semarang,Lipstik,56382,1,Kartu Kredit,Hemat,4.1,56382
1557,Bandung,Kemeja,766714,3,Transfer Bank,Hemat,4.1,2300142
1558,Surabaya,Celana Jeans,882219,2,Kartu Kredit,Kilat,1.9,1764438
1559,Makassar,Parfum,43341,2,ShopeePay,Reguler,1.8,86682
1560,Surabaya,Tas Ransel,689727,3,Transfer Bank,Hemat,3.4,2069181
1561,Surabaya,Lipstik,926399,3,Transfer Bank,Same Day,4,2779197
1562,Medan,Sneakers,246280,2,Kartu Kredit,Reguler,2.3,492560
1563,Medan,Kaos,675354,4,COD,Same Day,1.4,2701416
1564,Bandung,Sneakers,220940,2,Transfer Bank,Hemat,3.9,441880
1565,Surabaya,Jam Tangan,425218,4,Kartu Kredit,Reguler,2.2,1700872
1566,Surabaya,Tas Ransel,803540,4,ShopeePay,Kilat,1.7,3214160
1567,Semarang,Kaos,630108,4,Kartu Kredit,Hemat,1.6,2520432
1568,Medan,Sneakers,79949,3,Kartu Kredit,Same Day,2.3,239847
1569,Surabaya,Jam Tangan,428916,2,Transfer Bank,Reguler,3.4,857832
1570,Yogyakarta,Parfum,754665,2,COD,Same Day,2.4,1509330
1571,Bandung,Parfum,606831,1,ShopeePay,Same Day,1.1,606831
1572,Denpasar,Sneakers,966822,3,Transfer Bank,Kilat,1.4,2900466
1573,Yogyakarta,Lipstik,503075,1,Transfer Bank,Kilat,2.2,503075
1574,Yogyakarta,Tas Ransel,834042,1,Transfer Bank,Hemat,3.6,834042
1575,Denpasar,Power Bank,806166,4,ShopeePay,Kilat,1.4,3224664
1576,Makassar,Lipstik,532472,3,COD,Kilat,3.2,1597416
1577,Makassar,Parfum,748734,1,ShopeePay,Hemat,1.5,748734
1578,Bandung,Tas Ransel,347370,2,ShopeePay,Hemat,1.8,694740
1579,Yogyakarta,Jam Tangan,851599,1,COD,Hemat,1.7,851599
1580,Surabaya,Kaos,228851,3,ShopeePay,Hemat,1.3,686553
1581,Medan,Earphone,179011,2,Kartu Kredit,Same Day,3.7,358022
1582,Bandung,Sneakers,474581,2,ShopeePay,Same Day,2.9,949162
1583,Semarang,Kemeja,87381,2,Transfer Bank,Hemat,4.3,174762
1584,Denpasar,Tas Ransel,853142,4,ShopeePay,Hemat,1.4,3412568
1585,Yogyakarta,Celana Jeans,298910,2,Transfer Bank,Reguler,1.6,597820
1586,Bandung,Jam Tangan,122416,4,ShopeePay,Reguler,2.2,489664
1587,Jakarta,Power Bank,557068,4,Transfer Bank,Reguler,4.1,2228272
1588,Jakarta,Earphone,68458,1,Transfer Bank,Kilat,2.2,68458
1589,Makassar,Celana Jeans,862653,1,Transfer Bank,Same Day,2.6,862653
1590,Denpasar,Power Bank,531714,2,COD,Same Day,2.2,1063428
1591,Medan,Kemeja,521608,3,ShopeePay,Reguler,1.3,1564824
1592,Surabaya,Parfum,807941,2,ShopeePay,Reguler,4.8,1615882
1593,Medan,Lipstik,371637,1,Kartu Kredit,Same Day,3.2,371637
1594,Medan,Sneakers,447562,2,Kartu Kredit,Kilat,4.2,895124
1595,Medan,Kaos,923282,1,Kartu Kredit,Reguler,3.6,923282
1596,Denpasar,Power Bank,197946,2,ShopeePay,Hemat,3.1,395892
1597,Medan,Earphone,963652,3,COD,Reguler,1.4,2890956
1598,Semarang,Tas Ransel,51533,2,Transfer Bank,Same Day,3.6,103066
1599,Denpasar,Parfum,914576,3,ShopeePay,Same Day,1.6,2743728
1600,Semarang,Tas Ransel,404546,3,COD,Reguler,2.7,1213638
1601,Denpasar,Earphone,884899,2,COD,Reguler,3.5,1769798
1602,Makassar,Tas Ransel,283503,3,ShopeePay,Hemat,4.1,850509
1603,Bandung,Power Bank,139119,3,Transfer Bank,Hemat,3.7,417357
1604,Jakarta,Jam Tangan,241140,1,COD,Kilat,3.7,241140
1605,Medan,Tas Ransel,997817,1,ShopeePay,Kilat,1.6,997817
1606,Makassar,Lipstik,302488,3,Transfer Bank,Hemat,2.4,907464
1607,Bandung,Kemeja,924931,4,Kartu Kredit,Kilat,1.2,3699724
1608,Jakarta,Kaos,351922,2,COD,Kilat,3.9,703844
1609,Yogyakarta,Power Bank,302745,3,COD,Reguler,4.8,908235
1610,Surabaya,Celana Jeans,265840,2,ShopeePay,Hemat,2.1,531680
1611,Semarang,Earphone,956620,1,ShopeePay,Reguler,1.4,956620
1612,Yogyakarta,Parfum,732345,2,Transfer Bank,Reguler,2.9,1464690
1613,Denpasar,Power Bank,383157,3,Kartu Kredit,Kilat,4.4,1149471
1614,Jakarta,Jam Tangan,792470,3,Kartu Kredit,Reguler,3.2,2377410
1615,Yogyakarta,Parfum,531545,3,ShopeePay,Same Day,1.2,1594635
1616,Surabaya,Lipstik,312926,3,ShopeePay,Kilat,4.9,938778
1617,Makassar,Earphone,655383,4,Transfer Bank,Same Day,4.3,2621532
1618,Jakarta,Parfum,463035,4,ShopeePay,Kilat,1.5,1852140
1619,Yogyakarta,Tas Ransel,379267,4,Transfer Bank,Reguler,4.7,1517068
1620,Semarang,Power Bank,850890,3,Transfer Bank,Kilat,2.8,2552670
1621,Semarang,Kemeja,930657,4,Kartu Kredit,Same Day,2.5,3722628
1622,Bandung,Earphone,683440,2,Transfer Bank,Kilat,2.8,1366880
1623,Yogyakarta,Sneakers,709317,3,Kartu Kredit,Same Day,4.3,2127951
1624,Medan,Lipstik,427124,1,Kartu Kredit,Hemat,3.6,427124
1625,Yogyakarta,Kaos,378332,3,Kartu Kredit,Reguler,1.2,1134996
1626,Makassar,Earphone,771240,2,ShopeePay,Same Day,4.8,1542480
1627,Jakarta,Jam Tangan,141292,4,Kartu Kredit,Hemat,1.6,565168
1628,Jakarta,Power Bank,110570,3,Transfer Bank,Reguler,4,331710
